id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,dominancia_m,dominancia_sd,word,categoria_palabra
245,"crepe",6.88,1.77,5.24,1.92,5.53,2.02,"pancakes",1
246,"crepúsculo",6.32,2.14,4.02,2.19,4.38,2.38,"twilight",1
247,"criatura",5.93,2.15,5.39,2.01,4.73,2.00,"kids",1
248,"crimen",1.64,1.14,6.67,2.07,3.02,2.10,"crime",1
249,"criminal",1.77,1.38,6.81,2.13,2.97,1.93,"criminal",1
250,"crisis",1.88,1.31,6.41,2.04,2.94,1.78,"crisis",1
251,"crucificar",1.87,1.26,6.26,2.31,3.19,2.03,"crucify",1
252,"cruel",1.77,0.97,6.63,2.02,3.73,2.13,"cruel",1
253,"cuadrado",4.87,1.14,4.16,1.79,5.16,1.70,"square",1
254,"cucaracha",2.57,1.86,6.14,2.24,4.53,2.40,"cockroach",1
255,"cuchillo",2.86,1.72,5.68,2.18,4.64,2.28,"knife",1
256,"cuenco",5.01,1.31,3.89,1.72,5.34,2.17,"bowl",1
257,"cuerpo",6.02,1.75,5.59,1.74,5.53,2.05,"body",1
258,"culpa",2.09,1.89,6.46,2.01,3.62,2.24,"fault",1
259,"culpable",2.36,1.67,6.19,1.87,3.82,2.07,"guilty",1
260,"cumpleaños",7.54,1.58,6.74,1.85,5.74,2.10,"birthday",1
261,"cura",4.52,2.36,5.08,2.16,4.99,2.15,"priest",1
262,"curar",7.66,1.62,6.27,2.24,5.67,2.10,"heal",1
263,"curioso",5.62,2.05,6.07,1.82,5.08,2.00,"curious",1
264,"daga",3.66,2.11,5.84,2.02,4.63,2.26,"dagger",1
265,"daño",1.80,1.06,6.83,1.76,3.66,2.36,"damage",1
